 B_ens_min B_ens_max B_ens_mean B_ens_std
0 -1.1865803119609502 0.9618690976608526 -0.6007898751622349 0.7810537662308148
1 -1.0722033791595735 0.9636705741004885 0.5275743889716638 0.7045833303778316
2 -0.8062251666336794 0.9641803347900335 0.9389279152186135 0.07448774966392753
3 0.9052330473088761 0.9649794908214895 0.9536750973915161 0.006443368311203854
4 0.9217562649777529 0.9649794908214895 0.9572138411507005 0.004700588455869823
5 0.9390822280411613 0.9649794908214895 0.9597361496758325 0.003363430592043334
6 0.9457459425001699 0.9651402674311986 0.961441362652086 0.0025214643997696117
7 0.9521606963898798 0.9652233347984341 0.9625248998588969 0.002054444619532783
8 0.9544921361663584 0.9657596424139118 0.9632419022017928 0.0017688832571291961
9 0.9563570832497255 0.9658800380146476 0.9637568259281311 0.001524296840898159
10 0.9577673090471363 0.9658800380146476 0.9641333100370554 0.0013177561846994534
11 0.9579351077768761 0.9658800380146476 0.9643881451334524 0.0011961513636005096
12 0.9579351077768761 0.9658800380146476 0.9645679542734376 0.0011189536713830845
13 0.9579490102771921 0.9658800380146476 0.9647103018072654 0.00104497866933209
14 0.9579490102771921 0.9658800380146476 0.9648144920008827 0.0009981794488356894
15 0.9579490102771921 0.9658800380146476 0.9649088284425063 0.0009144532648304874
16 0.9585775323888146 0.9658800380146476 0.9649707736612771 0.0008772564367753753
17 0.9586101093380115 0.9658800380146476 0.9650160119342029 0.0008582393108182208
18 0.9586101093380115 0.9658800380146476 0.9650472408746531 0.0008467459954212042
19 0.9588638307184403 0.9658800380146476 0.9650769726059341 0.0008235798931064684
20 0.9593026930235615 0.9658800380146476 0.9651032775299351 0.0007932975738193836
21 0.9593026930235615 0.9658800380146476 0.9651256508694018 0.0007773484930451842
22 0.9593026930235615 0.9658800380146476 0.9651370036065476 0.000765334373531488
23 0.9593026930235615 0.9658800380146476 0.9651502059919737 0.0007595922852863079
24 0.9593026930235615 0.9658800380146476 0.9651657197611355 0.0007334551778882721
25 0.9593026930235615 0.9658800380146476 0.9651788666102904 0.0007070780980443169
26 0.9593026930235615 0.9658800380146476 0.9651868701451138 0.0006984215611644674
27 0.9593026930235615 0.9658800380146476 0.965195732832217 0.0006887031323574184
28 0.9593026930235615 0.9658800380146476 0.9652046463405805 0.0006747624794993266
29 0.9593026930235615 0.9658800380146476 0.9652117021976853 0.000667243025685915
30 0.9593026930235615 0.9658800380146476 0.9652155770381395 0.0006628364372459702
31 0.9595739881637624 0.9658800380146476 0.9652224712336563 0.00064714772279718
32 0.9595739881637624 0.9658800380146476 0.9652255642732881 0.0006447981870559282
33 0.9595739881637624 0.9658800380146476 0.965230392441191 0.0006388818929263742
34 0.9595739881637624 0.9658800380146476 0.9652332836553112 0.0006350612947312864
35 0.9595739881637624 0.9658800380146476 0.9652384932519905 0.0006313696046240266
36 0.9595739881637624 0.9658800380146476 0.9652413990550575 0.0006286381774466469
37 0.9595739881637624 0.9658800380146476 0.9652428168466508 0.0006266805368104022
38 0.9595739881637624 0.9658800380146476 0.9652451041362647 0.0006260144272269954
39 0.9595739881637624 0.9658800380146476 0.9652478153382938 0.0006246565453950298
40 0.9595739881637624 0.9658800380146476 0.9652505380161537 0.0006195259226711636
41 0.9595739881637624 0.9658800380146476 0.9652529172101552 0.0006179980388446804
42 0.9595739881637624 0.9658800380146476 0.9652544629627486 0.0006172775177463507
43 0.9595739881637624 0.9658800380146476 0.9652560189000683 0.0006157687181488827
44 0.9595739881637624 0.9658800380146476 0.9652586603639988 0.0006146272499921518
45 0.9595739881637624 0.9658800380146476 0.9652609535048764 0.0006131001999367626
46 0.9595739881637624 0.9658800380146476 0.9652624076659031 0.000612618901160071
47 0.9595739881637624 0.9658800380146476 0.96526482125623 0.0006072250686291868
48 0.9595739881637624 0.9658800380146476 0.9652661235215485 0.000605147397742036
49 0.9595739881637624 0.9658800380146476 0.9652671841075472 0.0006047795053134805
50 0.9595739881637624 0.9658800380146476 0.965268647276445 0.0006042986054712391
51 0.9595739881637624 0.9658800380146476 0.9652697052370194 0.0006040540117476446
52 0.9595739881637624 0.9658800380146476 0.9652708244839823 0.000602555483629864
53 0.9595739881637624 0.9658800380146476 0.9652723040839921 0.0006021209970803095
54 0.9595739881637624 0.9658800380146476 0.9652734599104505 0.0006018223499311778
55 0.9595739881637624 0.9658800380146476 0.9652745479875038 0.0006013894188508043
56 0.9595739881637624 0.9658800380146476 0.9652753676692967 0.0006009949688702564
57 0.9595739881637624 0.9658800380146476 0.9652769193367143 0.0006004793835889248
58 0.9595739881637624 0.9658800380146476 0.9652785360003849 0.0005999651239307546
59 0.9595739881637624 0.9658800380146476 0.9652791841908036 0.0005998269727128067
60 0.9595739881637624 0.9658800380146476 0.9652802253274706 0.0005993470795434753
61 0.9595739881637624 0.9658800380146476 0.9652813254587509 0.0005989335404495759
62 0.9595739881637624 0.9658800380146476 0.9652818575478633 0.0005988233751131069
63 0.9595739881637624 0.9658800380146476 0.9652834537600641 0.0005981439926513454
64 0.9595739881637624 0.9658800380146476 0.9652837047292013 0.000598055951418374
65 0.9595739881637624 0.9658800380146476 0.9652845973188161 0.0005977525089219172
66 0.9595739881637624 0.9658800380146476 0.9652855868521555 0.0005967125776513581
67 0.9595739881637624 0.9658800380146476 0.9652875800874842 0.0005960914016190533
68 0.9595739881637624 0.9658800380146476 0.965288574586581 0.0005925957207435202
69 0.9595826887021294 0.9658800380146476 0.965290837149218 0.0005861145100221653
70 0.9595826887021294 0.9658800380146476 0.9652920889622203 0.0005811553729774065
