 B_ens_min B_ens_max B_ens_mean B_ens_std
0 -1.020402869254314 0.9525382626228638 0.8361635722137938 0.3005320416123187
1 0.8302502716018193 0.9594266838005495 0.9335653857713159 0.011489834410428154
2 0.9192039420527619 0.9606923748678311 0.9415457242264975 0.00653099995974563
3 0.921859110250796 0.9606923748678311 0.9447460646170328 0.005725969010929601
4 0.931047731401905 0.9622990342415172 0.947136926339553 0.005154942043639522
5 0.9348769015063437 0.9622990342415172 0.9487461907511594 0.005098171167397914
6 0.9369516193455406 0.9625778084146445 0.9499754701634129 0.005141145154264489
7 0.9385129099365175 0.963701353012967 0.9509349725122265 0.0052398946020279745
8 0.9385129099365175 0.9641919136285892 0.9516810163492481 0.005293477460516014
9 0.939276235237057 0.9646628975818712 0.952341832828842 0.005386661347969673
10 0.9395427678985375 0.9648846757189568 0.9528860401035248 0.005481467471292397
11 0.9395427678985375 0.9651212227191572 0.9532993797819527 0.005559419350971356
12 0.9402393510870769 0.9652414176771384 0.9536691557265543 0.0056425232917243434
13 0.9403488262846962 0.9652452745002368 0.9540015628502776 0.0057074073258125335
14 0.9403488262846962 0.9653356622654123 0.95425003316472 0.005775691515356802
15 0.9408209782714998 0.965434843376918 0.9545050949853884 0.005850132585928525
16 0.9409386503406292 0.9654456598727207 0.9547161243752849 0.005911515238299579
17 0.9409386503406292 0.9655874461527989 0.9548867323855809 0.005959272600915316
18 0.9412929889239494 0.9657968160314245 0.9550490236908783 0.0060073376134177
19 0.9417174536590459 0.9657968160314245 0.955195886654922 0.006069763704561352
20 0.9419096786384986 0.9661969996985736 0.9553162933510098 0.0061142505168485135
21 0.9419096786384986 0.9661969996985736 0.9554330137962564 0.006155485162871415
22 0.9420212845456559 0.9661969996985736 0.9555441138152915 0.0062021991070352655
23 0.9420319207681623 0.9665437261382793 0.9556509456725615 0.006229204949908829
24 0.9420319207681623 0.9665703459560004 0.9557447832799291 0.0062707402401878535
25 0.9420319207681623 0.9668243569390831 0.9558443518531873 0.006304513104115142
26 0.9420538803078424 0.9674369564315911 0.9559228545262527 0.006330702707838431
27 0.9420538803078424 0.9674369564315911 0.9560019130141512 0.0063651595883617105
28 0.9420538803078424 0.9679836257987526 0.9560853588683189 0.006404941968117299
29 0.9420538803078424 0.9680029080512457 0.9561534449064442 0.006434155961415072
30 0.9420538803078424 0.9680763838215487 0.9562312727891978 0.006465096829768022
31 0.9420538803078424 0.9683777441655423 0.9562952658259194 0.006495261112573798
32 0.9420538803078424 0.9683777441655423 0.9563614004019482 0.00652445485368116
33 0.9420538803078424 0.9684488196365872 0.9564250211661547 0.006551931945728307
34 0.9420565488050481 0.968470485423413 0.9564821178578556 0.006581323487407196
35 0.9420565488050481 0.968470485423413 0.9565499949114905 0.006611099203917197
36 0.9420569879302021 0.9685482546957833 0.9566091018784958 0.006637090182009108
37 0.9422615744461822 0.9685482546957833 0.9566556456002586 0.006662980299103806
38 0.9422615744461822 0.9685753418936089 0.9567088827107364 0.0066879271308637545
39 0.9422615744461822 0.9686640777322812 0.9567655016547572 0.006713747479627642
40 0.9425756092502543 0.9686640777322812 0.9568091308593563 0.006737424106265496
41 0.9427861733599836 0.9686822246125588 0.9568593386310706 0.006754035910475265
42 0.9427861733599836 0.9686822246125588 0.9569089651596494 0.006774526897634264
43 0.9428245995259046 0.9686822246125588 0.9569527128471779 0.006799181191764985
44 0.9428245995259046 0.9686844138078474 0.956996928332686 0.006818238098904272
45 0.9428245995259046 0.9687075296009603 0.9570385836149824 0.006838446112829693
46 0.9428245995259046 0.968729794981432 0.9570802988824103 0.006860501593177555
47 0.9428245995259046 0.9687524312034814 0.9571226233489281 0.0068795168951273295
48 0.9428245995259046 0.9688122632452565 0.9571634049516903 0.006902986093421123
49 0.9428245995259046 0.9688122632452565 0.957205242860359 0.006925235957255675
50 0.9428245995259046 0.9688890617326564 0.9572439607663789 0.006944528327893349
51 0.9428245995259046 0.9689463513134979 0.9572832122332923 0.006964585942179788
52 0.9428245995259046 0.9689463513134979 0.9573162069032616 0.006983084786863968
53 0.9428245995259046 0.9690471462225914 0.957350137122871 0.007004656540298318
54 0.9428245995259046 0.9690471462225914 0.9573869999872754 0.0070230565921212545
55 0.9428245995259046 0.9690471462225914 0.9574208839882383 0.0070450969121828005
56 0.9428245995259046 0.9690471462225914 0.9574540392412717 0.007060701382165029
57 0.9428245995259046 0.9693741987705715 0.95749131440552 0.007081090203178753
58 0.9428245995259046 0.9693741987705715 0.9575202302939231 0.007096059874485213
59 0.9428245995259046 0.9693741987705715 0.9575547035682477 0.007109016037120483
60 0.9428245995259046 0.9693741987705715 0.9575847436244906 0.007122865735423503
61 0.9428245995259046 0.9699435827846554 0.9576232145873311 0.007144667016584447
62 0.9428245995259046 0.9699435827846554 0.9576546322491548 0.007160140497350273
63 0.9428245995259046 0.9699435827846554 0.957678771953194 0.007173240334800216
64 0.9428245995259046 0.9711489781451615 0.9577066612797418 0.007192601574413135
65 0.9428245995259046 0.9711771616361365 0.9577391258118484 0.007207435584755433
66 0.9428245995259046 0.9716918854352918 0.9577693566089126 0.007228007869308821
67 0.9428245995259046 0.9717297803346974 0.9577969745079995 0.007244730797439512
68 0.9428245995259046 0.971988050575259 0.9578210868457717 0.007257611762118532
69 0.9428245995259046 0.9721089637924178 0.9578547049838465 0.007280930395071371
70 0.9428245995259046 0.9721089637924178 0.9578777746081301 0.007294449484282806
71 0.9429679518598402 0.9722547685262408 0.9579029842823855 0.007306226061218444
72 0.9429679518598402 0.9722547685262408 0.9579240494801168 0.0073177567965920735
